V1;Q1;Q2;Q7;Q8;Q11;Q13
756;61;1;0;0;0;6
758;42;0;1;0;1;5
760;38;0;1;0;0;5
761;58;0;0;1;0;8
762;53;0;1;0;0;10
764;61;0;0;1;0;6
766;19;0;1;0;0;5
767;60;0;0;0;0;8
768;44;0;0;0;0;5
769;55;0;0;1;1;5
771;49;0;0;1;0;8
772;60;1;0;1;1;7
774;64;0;0;1;1;6
775;28;0;1;0;0;6
777;66;1;0;1;0;8
780;52;0;0;0;1;7
784;67;1;0;1;0;7
785;56;0;0;0;0;6
786;27;0;0;1;0;10
787;51;0;1;0;0;8
789;52;0;1;0;1;6
790;38;1;1;0;0;5
791;56;1;0;0;0;6
792;64;0;0;1;0;7
793;38;0;1;0;1;6
794;65;0;1;0;0;6
795;37;0;1;0;1;5
796;43;1;1;0;1;5
797;41;1;0;1;1;5
798;28;0;1;0;0;7
799;36;0;0;0;1;8
800;37;0;0;0;1;5
802;30;0;1;0;1;5
803;39;0;1;1;1;8
804;35;0;1;0;1;5
805;34;0;1;0;1;4
806;51;0;1;0;1;4
807;42;0;0;1;0;8
808;40;0;0;1;1;8
809;38;0;1;0;1;3
810;63;0;1;0;0;7
811;68;0;0;0;0;4
813;33;0;0;0;0;7
814;52;0;1;0;1;5
816;42;0;1;0;1;7
817;31;0;1;0;0;4
820;61;0;0;0;0;7
821;23;0;1;0;0;6
822;44;0;0;1;0;6
824;30;0;0;1;0;4
827;54;0;0;1;0;6
831;52;0;0;1;0;5
832;33;0;1;0;1;5
833;54;0;1;1;1;5
834;60;0;0;0;0;8
835;42;0;0;1;1;8
836;36;0;1;0;1;5
837;49;0;0;0;0;6
839;59;1;0;0;0;7
841;34;0;0;1;0;7
842;48;0;1;0;1;9
843;46;0;0;0;0;6
845;34;0;0;1;0;7
847;34;0;0;1;0;8
850;41;0;0;1;1;7
851;54;0;1;0;1;4
853;36;0;0;1;0;5
854;44;0;1;0;1;5
855;26;0;0;0;0;6
856;54;0;0;0;0;8
857;53;0;1;0;0;6
858;27;0;0;0;0;5
859;34;1;0;1;0;6
861;55;0;0;1;0;5
863;35;0;1;0;1;4
865;50;1;1;0;0;7
866;38;0;0;1;0;6
869;56;1;0;0;0;6
871;25;0;0;1;0;10
873;35;1;1;0;1;6
874;65;1;1;1;0;5
875;26;0;1;0;0;7
878;41;0;0;1;0;8
882;39;1;1;0;1;6
885;43;0;0;1;1;6
886;43;1;0;1;1;8
889;61;0;0;0;0;11
891;26;0;0;1;0;8
892;23;0;1;1;0;6
894;29;0;0;1;0;7
896;47;0;0;1;1;7
898;39;0;0;1;1;6
905;36;0;1;0;1;4
908;66;0;0;0;0;8
914;41;0;1;0;1;5
