SbjNum,d3,PROVINCIA,DISTRITO,ORGANIZACION,A,B,D,E,P1,P2,P3,P4,P5_O1,P5_O2,P5_O3,P5_O4,P6_1,P6_2,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16A,P16B_O1,P16B_O2,P16B_O3,P16B_O4,P16B_O5,P16B_O6,P16B_O7,P16B_O8,P16B_O9,P17,P18,P19,P20,P21,P22,P23,P24_1,P24_2,P24_3,P24_4,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,I_1_P44,I_2_P44,I_3_P44,I_4_P44,I_5_P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,I_1_P54,I_2_P54,I_3_P54,I_4_P54,I_1_P55,I_2_P55,I_1_P56,I_2_P56,P57,P58,P59,NSE,REGX,ent,SEXO,edad
153872322,4,401,40104,40,1,34,4,1,3,105,4,2,NA,NA,NA,NA,NA,NA,3,2,3,4,4,4,2,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,4,2,2,2,10,2,15,10,3,3,3,2,998,4,4,4,2,NA,4,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,2,5,4,2,2,3,2,3,2,2,2,2,1,2,2,2,2,3,1,3,3,42,200,2,2
153872358,8,801,80104,38,1,21,1,1,1,2,8,1,1,NA,NA,NA,1,NA,1,1,1,1,2,2,2,2,1,1,96,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,2,2,1,30,5,5,5,1,1,1,1,NA,2,2,1,1,2,2,NA,23,4,1,1,1,1,1,4,4,4,4,4,2,3,1,28,1,3,1,3,2,1,2,1,1,1,1,2,2,3,2,3,2,42,200,1,1
153872395,17,1701,170101,29,1,58,1,1,1,1,10,1,1,NA,NA,NA,2,NA,1,1,1,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,2,2,2,5,0,0,5,2,2,1,1,NA,2,2,2,2,NA,3,3,NA,NA,NA,NA,NA,1,1,4,4,4,4,4,2,3,1,9,1,3,5,3,1,2,1,2,2,1,2,2,2,3,2,3,2,51,200,1,5
153872962,8,801,80105,29,1,22,1,1,2,3,9,2,NA,NA,NA,NA,NA,NA,1,4,1,3,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,1,30,10,5,20,2,2,1,1,NA,2,3,2,2,NA,3,1,NA,NA,NA,NA,NA,2,1,4,4,4,4,4,1,5,4,6,1,3,1,4,2,1,2,2,2,1,1,2,2,2,2,2,3,42,200,1,1
153873008,17,1701,170101,29,1,28,1,1,2,1,7,2,NA,NA,NA,NA,NA,NA,1,2,1,3,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,1,5,0,0,4,2,2,1,1,NA,2,3,2,2,NA,3,1,NA,NA,NA,NA,NA,1,1,4,4,4,4,4,2,3,1,9,1,6,4,4,2,1,1,1,1,1,1,2,2,4,1,3,1,51,200,1,2
153873753,11,1101,110110,16,1,31,2,4,1,2,9,1,1,NA,NA,NA,2,NA,1,1,1,2,2,1,2,1,1,6,2,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,2,2,2,1,20,1,1,25,1,1,2,2,7,2,2,2,2,NA,3,5,NA,NA,NA,NA,NA,1,1,4,4,4,3,4,2,12,1,3,1,7,4,6,2,1,1,2,1,1,1,2,2,3,1,3,1,42,100,1,2
153873754,11,1101,110101,16,1,39,3,1,2,1,10,1,1,NA,NA,NA,2,NA,1,2,1,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,1,2,30,20,15,2,2,1,3,120,2,2,2,1,1,3,5,NA,NA,NA,NA,NA,1,1,3,3,3,2,4,2,2,1,8,1,6,3,5,2,1,1,1,1,1,1,1,2,3,1,3,1,42,100,1,3
153873864,22,2201,220101,26,1,53,3,1,2,1,7,1,1,NA,NA,NA,2,NA,1,2,3,2,2,2,2,3,1,6,96,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,2,2,1,20,20,20,3,3,2,1,2,15,4,3,2,1,1,3,5,NA,NA,NA,NA,NA,3,1,4,4,4,4,3,2,11,17,6,1,3,3,3,2,1,1,1,1,1,1,1,2,3,1,3,1,51,200,1,4
153873865,22,2201,220101,10,1,31,1,4,1,2,9,1,1,NA,NA,NA,2,NA,1,1,1,1,1,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,15,0,5,4,2,2,1,1,NA,2,2,2,2,NA,2,NA,32,17,2,1,3,3,1,1,2,4,1,4,1,13,5,2,2,6,4,5,2,1,1,2,1,2,1,2,2,5,1,3,2,51,100,2,2
153873866,22,2201,220101,26,1,32,3,3,1,1,10,1,1,NA,NA,NA,1,NA,1,2,1,1,2,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,2,2,19,60,0,10,5,2,2,2,1,NA,3,4,2,1,2,3,5,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,2,6,1,96,1,2,3,2,2,2,2,2,1,1,2,2,2,3,1,1,3,51,200,1,2
