"","FECHA","TC_NOMINAL","RESERVA_INT","RENDIMIENTO_BONO","ORO","PETROLEO","ANIO"
"84",2019-09-01,3.401,68268.8792493,4.1781,1528.4,55.07,2019
"85",2019-09-02,3.405,68245.46987102,4.1983,1525.95,55.07,2019
"86",2019-09-03,3.404,68027.23735607,4.1641,1537.85,53.91,2019
"87",2019-09-04,3.378,68236.6803636,4.0927,1546.1,56.22,2019
"88",2019-09-05,3.364,68590.37148502,4.0808,1529.1,56.33,2019
"89",2019-09-06,3.342,69256.05041262,4.0455,1523.7,56.45,2019
"90",2019-09-07,3.342,69256.05041262,4.0455,1523.7,56.45,2019
"91",2019-09-08,3.342,69256.05041262,4.0455,1523.7,56.45,2019
"92",2019-09-09,3.349,68639.42848938,4.064,1509.2,57.88,2019
"93",2019-09-10,3.343,68692.78934335,4.0758,1498.25,57.37,2019
"94",2019-09-11,3.338,68852.47639327,4.0462,1490.65,55.66,2019
"95",2019-09-12,3.324,69007.37146117,4.0534,1515.2,55.13,2019
"96",2019-09-13,3.321,68955.59393565,4.0914,1503.1,54.76,2019
"97",2019-09-14,3.321,68955.59393565,4.0914,1503.1,54.76,2019
"98",2019-09-15,3.321,68955.59393565,4.0914,1503.1,54.76,2019
"99",2019-09-16,3.333,68927.21240762,4.1539,1497.2,63.1,2019
"100",2019-09-17,3.338,68387.14200505,4.1607,1502.1,59.26,2019
"101",2019-09-18,3.35,68900.62846028,4.1786,1503.5,58.19,2019
"102",2019-09-19,3.354,68693.38022158,4.215,1500.7,58.19,2019
"103",2019-09-20,3.358,68506.24080263,4.2102,1501.9,57.92,2019
"104",2019-09-21,3.358,68506.24080263,4.2102,1501.9,57.92,2019
"105",2019-09-22,3.358,68506.24080263,4.2102,1501.9,57.92,2019
"106",2019-09-23,3.355,68309.75515642,4.1889,1522.1,58.69,2019
"107",2019-09-24,3.341,68426.08773034,4.1725,1520.65,57.22,2019
"108",2019-09-25,3.35,68353.43951345,4.2104,1528.75,56.38,2019
"109",2019-09-26,3.382,68333.22396153,4.25,1506.4,56.24,2019
"110",2019-09-27,3.381,68127.28386555,4.2955,1489.9,55.95,2019
"111",2019-09-28,3.381,68127.28386555,4.2955,1489.9,55.95,2019
"112",2019-09-29,3.381,68127.28386555,4.2955,1489.9,55.95,2019
"113",2019-09-30,3.369,67860.13157631,4.2467,1485.3,54.09,2019
"114",2019-10-01,3.386,68115.75276498,4.1848,1473.45,53.6,2019
"115",2019-10-02,3.388,68201.547894,4.2168,1492.6,52.67,2019
"116",2019-10-03,3.373,68345.9621249,4.1607,1517.1,52.41,2019
"117",2019-10-04,3.379,68474.61496239,4.1236,1499.15,52.84,2019
"118",2019-10-05,3.379,68474.61496239,4.1236,1499.15,52.84,2019
"119",2019-10-06,3.379,68474.61496239,4.1236,1499.15,52.84,2019
"120",2019-10-07,3.382,68239.60023962,4.0653,1501.25,52.76,2019
"121",2019-10-08,3.382,68239.60023962,4.0653,1505.85,52.64,2019
"122",2019-10-09,3.366,68264.52874041,4.022,1507.25,52.63,2019
"123",2019-10-10,3.365,68351.87387056,3.9285,1494.8,53.57,2019
"124",2019-10-11,3.355,68668.03703926,4.0036,1479.15,54.76,2019
"125",2019-10-12,3.355,68668.03703926,4.0036,1479.15,54.76,2019
"126",2019-10-13,3.355,68668.03703926,4.0036,1479.15,54.76,2019
"127",2019-10-14,3.367,68677.99567234,3.98,1490.6,53.57,2019
"128",2019-10-15,3.366,68676.0337154,4.0367,1487.8,52.81,2019
"129",2019-10-16,3.362,68771.73324553,3.9359,1485.1,53.42,2019
"130",2019-10-17,3.349,68752.92005942,3.9246,1492.65,53.89,2019
"131",2019-10-18,3.336,69023.38787192,3.9505,1490,53.75,2019
"132",2019-10-19,3.336,69023.38787192,3.9505,1490,53.75,2019
"133",2019-10-20,3.336,69023.38787192,3.9505,1490,53.75,2019
"134",2019-10-21,3.337,69662.11205381,4.0133,1491.65,53.28,2019
"135",2019-10-22,3.349,69530.22312022,4.0579,1485.35,54.21,2019
"136",2019-10-23,3.345,69553.78278777,4.0929,1494.45,55.9,2019
"137",2019-10-24,3.348,68478.50791706,4.0996,1496.55,56.11,2019
"138",2019-10-25,3.335,68159.3717544,4.1385,1513.45,56.52,2019
"139",2019-10-26,3.335,68159.3717544,4.1385,1513.45,56.52,2019
"140",2019-10-27,3.335,68159.3717544,4.1385,1513.45,56.52,2019
"141",2019-10-28,3.331,68108.59305199,4.1865,1492.4,55.6,2019
"142",2019-10-29,3.336,68096.87020234,4.1932,1486.75,55.34,2019
"143",2019-10-30,3.344,67986.299528,4.2505,1492.1,54.85,2019
"144",2019-10-31,3.344,67986.299528,4.2505,1510.95,54.02,2019
"145",2019-11-01,3.344,67986.299528,4.2505,1508.8,56.04,2019
"146",2019-11-02,3.344,67986.299528,4.2505,1508.8,56.04,2019
"147",2019-11-03,3.344,67986.299528,4.2505,1508.8,56.04,2019
"148",2019-11-04,3.332,67213.91984256,4.1575,1509.45,56.33,2019
"149",2019-11-05,3.337,67146.69339297,4.1942,1488.95,57.04,2019
"150",2019-11-06,3.339,67639.00088486,4.2193,1486.05,56.15,2019
"151",2019-11-07,3.343,67663.92701442,4.2653,1484.25,56.91,2019
"152",2019-11-08,3.359,67905.37827634,4.1937,1464.15,57.02,2019
"153",2019-11-09,3.359,67905.37827634,4.1937,1464.15,57.02,2019
"154",2019-11-10,3.359,67905.37827634,4.1937,1464.15,57.02,2019
"155",2019-11-11,3.361,67908.14122245,4.2135,1458.7,56.61,2019
"156",2019-11-12,3.381,68002.34967282,4.2601,1452.05,56.67,2019
"157",2019-11-13,3.388,67974.45912753,4.3977,1462.9,56.88,2019
"158",2019-11-14,3.387,67979.14331999,4.3578,1466.65,56.57,2019
"159",2019-11-15,3.363,67817.76828671,4.2562,1466.9,57.54,2019
